Тип, Назва, Опис (найменування кирилицею)
0, "all", "всі"
1, "invoice", "Рахунок"
2, "orders", "Замовлення"
3, "recadv", "Повідомлення про прийом"
4, "desadv", "Повідомлення про відвантаження"
5, "ordrsp", "Підтвердження замовлення"
6, "pricat", "Прайс-лист"
10, "declar", "Податкова накладна"
11, "insdes", "Інструкція з доставки"
13, "slsrpt", "Звіт про продажі"
14, "invrpt", "Звіт про інвентаризацію"
15, "coacsu", "Акт звірки взаєморозрахунків"
16, "actset", "Акт взаємозаліку"
17, "iftmin", "Інструкція про транспортування"
18, "retann", "Повідомлення про повернення"
19, "iftmbf", "Замовлення транспортування"
21, "mscons", "Звіт про надані послуги"
25, "retins", "Інструкція з повернення"
28, "comdoc", "Комерційний документ"
29, "declarj12", "Коригування до податкової накладної"
30, "condra", "Не структурований документ"
42, "iftmbc", "Підтвердження замовлення транспортування"
59, "documentinvoice", "Товарна накладна"
67, "doccorinvoice", "doccorinvoice"
75, "waybill", "Товарно-транспортна накладна (ТТН)"
79, "addbill", "addbill"
98, "quotes", "Додаток до Повідомлення про відвантаження"
